,feature-0014,feature-0029,feature-0031,feature-0035,feature-0057,feature-0061,feature-0082,feature-0282,feature-0304,feature-0345,feature-0350,feature-0367,feature-0411,feature-0462,feature-0482,feature-0483,feature-0485,feature-0501,feature-0573,feature-0579,feature-0598,feature-0697,feature-0703,feature-0764,feature-0853,feature-0856,feature-0938,feature-0972,feature-1024,feature-1054,feature-1088,feature-1136,feature-1137
Sample_0011_Non-LCa,11.915735402430698,1391.28404036806,204.27935851752102,1166.319710388,233.49665564520802,132.276438599231,3215.2137194297497,77.74548898454009,15579.7185045868,14.695823486346299,24.51965,45.1057662473435,240.16460485053398,57.679426916205394,87.75367829290221,9.842942819966071,27.0887437345057,38.0732,9.98253727833132,10.0029442188956,14023.704006208798,37.514253269444296,108.317860395874,4537.8041803052,97451.08,18.488887153753396,12797.1981939553,20.39173,12.596804684609198,254.386329233115,46.635585807651,2842.7863457124104,4221.13135958984
Sample_0012_Non-LCa,11.5229744768258,828.206379102171,141.838947696022,2675.90952004589,344.643818007332,148.386196474162,6332.11299992453,49.920509276015,25172.3282770189,9.92164065280004,16.635270000000002,24.7882527943065,437.027507684822,55.55096800004001,95.20466004738279,8.622836308761519,20.9421590047581,62.300419999999995,8.94017476097279,10.9874267877086,10181.4883221663,42.994265551862604,194.08420325880002,8877.773220715459,64155.52,14.537191001684699,5923.63670499261,12.81408,13.1648748559469,3662.82923824221,50.778602119226896,1750.45738445436,5192.81196468206
Sample_0013_Non-LCa,14.014386497380901,828.206379102171,312.738478703014,3017.03192133755,901.8004690409151,294.42909455968,2842.7863457124104,95.20466004738279,4537.8041803052,9.030169510022679,39.79582,53.56975546946779,1026.7681101921698,99.3405769468207,49.920509276015,8.871969765860491,36.9768918957665,54.56038,9.29420755296417,9.284024343178631,5545.81215932176,85.9317731824274,254.386329233115,10899.865321385601,64155.52,20.9421590047581,3426.57091133942,31.37023,13.044671959001699,1836.0739251549398,103.706767523862,1331.1921790084,19451.7634340127
Sample_0014_LCa,13.476621212546,943.2734728139619,762.428505477662,4221.13135958984,132.276438599231,294.42909455968,4537.8041803052,113.066057970613,17426.343930496398,13.2864592174404,39.79582,36.4506124310931,144.962771302323,155.432605771302,64.7781396994912,8.65770997780206,30.1907616163388,55.55096999999999,13.671945938420901,11.2854889982319,2842.7863457124104,93.2325163220042,57.679426916205394,30177.155110164702,64155.52,48.214860646833,5545.81215932176,44.39778,13.1648748559469,3426.57091133942,87.75367829290221,2381.82495074225,7236.07734143862
Sample_0015_Non-LCa,29.1085673296716,699.243150122401,526.5307706908529,3426.57091133942,118.082862653931,303.242752855959,2528.24715689304,85.9317731824274,17426.343930496398,13.2253905883902,38.622679999999995,35.4269757380535,209.703574502162,115.498816274161,34.456609647429296,11.778666521756001,42.994265551862604,41.66941,16.1135799258577,14.857045835564803,5923.63670499261,167.06300726953398,82.57323158217359,19451.7634340127,51566.01,30.980815741990003,4221.13135958984,48.214859999999994,15.1927798471149,1750.45738445436,93.2325163220042,1520.1000912033999,10181.4883221663
Sample_0016_Non-LCa,15.5430998734818,1454.2120600298301,1166.319710388,1931.9789591857398,380.31069337108596,548.538167069048,4537.8041803052,155.432605771302,19451.7634340127,10.7163885634786,59.96678000000001,46.635585807651,506.22737675109397,215.350500234005,89.5531062052935,10.1603956958251,47.4228416267665,57.67943,9.75337116098456,9.60822148260663,14023.704006208798,221.16694420524502,179.976799311603,10899.865321385601,97451.08,33.0825684225088,3215.2137194297497,42.33393,15.020845886326999,593.611671150147,171.344233089828,2675.90952004589,2528.24715689304
Sample_0017_Non-LCa,8.44086697125749,901.8004690409151,1218.67335768311,2675.90952004589,670.918723923204,526.5307706908529,6332.11299992453,175.60827454870602,25172.3282770189,7.76635102180936,51.682809999999996,79.29904113099771,943.2734728139619,198.98066007321603,62.300417654270895,13.9429951894555,63.5475958878296,97.27557,14.857045835564803,17.564548232644,21787.9921465462,163.148218388304,344.643818007332,11776.6392333358,97451.08,24.5196478039582,4852.0476758985,54.56038,17.6871278044712,1589.53973446776,204.27935851752102,1750.45738445436,3921.6220505032898
Sample_0018_Non-LCa,12.928830457927699,643.661923473448,392.837518048399,1454.2120600298301,240.16460485053398,159.191943645763,1391.28404036806,76.1735692393598,25172.3282770189,13.476621212546,22.37627,66.15083665720671,593.611671150147,61.140044682319704,63.5475958878296,8.2149927250902,22.805361796076998,34.45661,9.27361854987166,9.46942619931438,7236.07734143862,46.635585807651,247.250629668951,5192.81196468206,64155.52,15.9184153927063,10899.865321385601,18.9295,11.2854889982319,57.679426916205394,41.0338561548156,1667.73858489636,4537.8041803052
Sample_0019_Non-LCa,18.0849130469846,1589.53973446776,437.027507684822,6332.11299992453,215.350500234005,303.242752855959,2528.24715689304,105.98660692426,15579.7185045868,14.230520260759802,27.738879999999998,54.560376516045196,333.518499007247,91.4024163082272,57.679426916205394,10.338618829889901,46.635585807651,45.87056,13.2864592174404,20.217398932638602,8308.73480684338,73.14087853937879,129.344958781322,21787.9921465462,78654.36,23.7566219233528,5923.63670499261,28.40597,25.8927078815518,240.16460485053398,87.75367829290221,4852.0476758985,3921.6220505032898
Sample_0020_Non-LCa,17.9487422175724,1589.53973446776,184.512439305276,3426.57091133942,294.42909455968,261.77233759056196,1750.45738445436,189.249340357013,21787.9921465462,16.2140417724928,47.42284,54.560376516045196,643.661923473448,101.53100011269699,93.2325163220042,10.7820364382658,36.4506124310931,32.62678,16.6352748400915,17.3197367433902,8877.773220715459,63.5475958878296,198.98066007321603,14023.704006208798,78654.36,43.689084284921506,6332.11299992453,31.784270000000003,19.8792505043902,82.57323158217359,79.29904113099771,4221.13135958984,3921.6220505032898
