,feature-0014,feature-0029,feature-0048,feature-0057,feature-0061,feature-0080,feature-0273,feature-0282,feature-0304,feature-0336,feature-0350,feature-0359,feature-0367,feature-0411,feature-0430,feature-0462,feature-0482,feature-0483,feature-0485,feature-0501,feature-0510,feature-0533,feature-0573,feature-0579,feature-0598,feature-0689,feature-0694,feature-0697,feature-0703,feature-0764,feature-0812,feature-0853,feature-0856,feature-0862,feature-0870,feature-0934,feature-0972,feature-0982,feature-1002,feature-1054,feature-1073,feature-1088,feature-1105,feature-1136,feature-1137
Sample_0015_Non-LCa,29.1085673296716,699.243150122401,12797.1981939553,118.082862653931,303.242752855959,30177.155110164702,1070.92459065281,85.9317731824274,17426.343930496398,11776.6392333358,38.622679999999995,2842.7863457124104,35.4269757380535,209.703574502162,232198.513652808,115.498816274161,34.456609647429296,11.778666521756001,42.994265551862604,41.66941,8308.73480684338,1589.53973446776,16.1135799258577,14.857045835564803,5923.63670499261,41952.0332559775,1391.28404036806,167.06300726953398,82.57323158217359,19451.7634340127,64155.5161261962,51566.01,30.980815741990003,97451.0827124985,25172.3282770189,10899.865321385601,48.214859999999994,6332.11299992453,15579.7185045868,1750.45738445436,78654.3623934317,93.2325163220042,152399.215113318,1520.1000912033999,10181.4883221663
Sample_0016_Non-LCa,15.5430998734818,1454.2120600298301,25172.3282770189,380.31069337108596,548.538167069048,8877.773220715459,6332.11299992453,155.432605771302,19451.7634340127,21787.9921465462,59.96678000000001,9512.63251640146,46.635585807651,506.22737675109397,232198.513652808,215.350500234005,89.5531062052935,10.1603956958251,47.4228416267665,57.67943,15579.7185045868,3921.6220505032898,9.75337116098456,9.60822148260663,14023.704006208798,41952.0332559775,6759.71221132047,221.16694420524502,179.976799311603,10899.865321385601,78654.3623934317,97451.08,33.0825684225088,51566.010063122005,30177.155110164702,17426.343930496398,42.33393,2252.99176070568,3426.57091133942,593.611671150147,64155.5161261962,171.344233089828,152399.215113318,2675.90952004589,2528.24715689304
Sample_0017_Non-LCa,8.44086697125749,901.8004690409151,19451.7634340127,670.918723923204,526.5307706908529,10899.865321385601,5545.81215932176,175.60827454870602,25172.3282770189,17426.343930496398,51.682809999999996,7236.07734143862,79.29904113099771,943.2734728139619,232198.513652808,198.98066007321603,62.300417654270895,13.9429951894555,63.5475958878296,97.27557,14023.704006208798,2139.98805468982,14.857045835564803,17.564548232644,21787.9921465462,41952.0332559775,6759.71221132047,163.148218388304,344.643818007332,11776.6392333358,78654.3623934317,97451.08,24.5196478039582,51566.010063122005,30177.155110164702,15579.7185045868,54.56038,3662.82923824221,5923.63670499261,1589.53973446776,64155.5161261962,204.27935851752102,152399.215113318,1750.45738445436,3921.6220505032898
Sample_0018_Non-LCa,12.928830457927699,643.661923473448,19451.7634340127,240.16460485053398,159.191943645763,15579.7185045868,3215.2137194297497,76.1735692393598,25172.3282770189,21787.9921465462,22.37627,12797.1981939553,66.15083665720671,593.611671150147,232198.513652808,61.140044682319704,63.5475958878296,8.2149927250902,22.805361796076998,34.45661,14023.704006208798,1520.1000912033999,9.27361854987166,9.46942619931438,7236.07734143862,51566.010063122005,4221.13135958984,46.635585807651,247.250629668951,5192.81196468206,97451.0827124985,64155.52,15.9184153927063,41952.0332559775,30177.155110164702,17426.343930496398,18.9295,5545.81215932176,10181.4883221663,57.679426916205394,78654.3623934317,41.0338561548156,152399.215113318,1667.73858489636,4537.8041803052
Sample_0019_Non-LCa,18.0849130469846,1589.53973446776,19451.7634340127,215.350500234005,303.242752855959,14023.704006208798,1931.9789591857398,105.98660692426,15579.7185045868,17426.343930496398,27.738879999999998,8877.773220715459,54.560376516045196,333.518499007247,232198.513652808,91.4024163082272,57.679426916205394,10.338618829889901,46.635585807651,45.87056,12797.1981939553,4537.8041803052,13.2864592174404,20.217398932638602,8308.73480684338,64155.5161261962,4221.13135958984,73.14087853937879,129.344958781322,21787.9921465462,97451.0827124985,78654.36,23.7566219233528,30177.155110164702,41952.0332559775,25172.3282770189,28.40597,5192.81196468206,7740.06911580213,240.16460485053398,51566.010063122005,87.75367829290221,152399.215113318,4852.0476758985,3921.6220505032898
Sample_0020_Non-LCa,17.9487422175724,1589.53973446776,19451.7634340127,294.42909455968,261.77233759056196,15579.7185045868,3215.2137194297497,189.249340357013,21787.9921465462,17426.343930496398,47.42284,6759.71221132047,54.560376516045196,643.661923473448,232198.513652808,101.53100011269699,93.2325163220042,10.7820364382658,36.4506124310931,32.62678,11776.6392333358,3662.82923824221,16.6352748400915,17.3197367433902,8877.773220715459,41952.0332559775,1836.0739251549398,63.5475958878296,198.98066007321603,14023.704006208798,97451.0827124985,78654.36,43.689084284921506,64155.5161261962,30177.155110164702,25172.3282770189,31.784270000000003,5545.81215932176,8308.73480684338,82.57323158217359,51566.010063122005,79.29904113099771,152399.215113318,4221.13135958984,3921.6220505032898
Sample_0021_Non-LCa,11.734601700518802,5923.63670499261,19451.7634340127,209.703574502162,2030.9856345440198,17426.343930496398,1667.73858489636,294.42909455968,15579.7185045868,11776.6392333358,44.39778,5545.81215932176,38.6226783222563,406.817520865886,232198.513652808,344.643818007332,21.5329980068964,14.304750594407802,261.77233759056196,110.6787,12797.1981939553,9512.63251640146,16.5266702229635,167.06300726953398,30177.155110164702,51566.010063122005,2381.82495074225,312.738478703014,204.27935851752102,21787.9921465462,78654.3623934317,97451.08,63.5475958878296,41952.0332559775,25172.3282770189,14023.704006208798,47.42284,4852.0476758985,5192.81196468206,179.976799311603,64155.5161261962,794.947978911189,152399.215113318,10181.4883221663,3426.57091133942
Sample_0022_Non-LCa,14.857045835564803,1750.45738445436,25172.3282770189,105.98660692426,355.83225493626196,19451.7634340127,2842.7863457124104,120.702075582343,14023.704006208798,17426.343930496398,61.14004,10899.865321385601,93.2325163220042,175.60827454870602,232198.513652808,132.276438599231,67.4421170742017,8.90850049751482,34.9395235885405,62.300419999999995,10181.4883221663,3921.6220505032898,12.2931385552198,12.870062682966402,9512.63251640146,41952.0332559775,2252.99176070568,167.06300726953398,87.75367829290221,15579.7185045868,97451.0827124985,78654.36,39.795824986159204,51566.010063122005,30177.155110164702,21787.9921465462,49.92051,5923.63670499261,7740.06911580213,95.20466004738279,64155.5161261962,115.498816274161,152399.215113318,3662.82923824221,5192.81196468206
Sample_0023_Non-LCa,10.4746808792755,1166.319710388,17426.343930496398,643.661923473448,863.3128913421291,12797.1981939553,5545.81215932176,261.77233759056196,21787.9921465462,10899.865321385601,66.15084,6759.71221132047,76.1735692393598,699.243150122401,232198.513652808,322.93778558439203,55.55096800004001,15.821440102302802,99.3405769468207,54.56038,11776.6392333358,3215.2137194297497,19.2294124519583,20.573204734325603,9512.63251640146,41952.0332559775,5192.81196468206,487.995813577437,294.42909455968,30177.155110164702,78654.3623934317,97451.08,43.689084284921506,51566.010063122005,25172.3282770189,19451.7634340127,82.57323000000001,3921.6220505032898,5923.63670499261,730.6080078304041,64155.5161261962,233.49665564520802,152399.215113318,2528.24715689304,3426.57091133942
Sample_0024_Non-LCa,14.4585366400263,506.22737675109397,19451.7634340127,138.53237727081,233.49665564520802,8877.773220715459,3426.57091133942,64.7781396994912,21787.9921465462,25172.3282770189,40.41594,10181.4883221663,30.980815741990003,194.08420325880002,232198.513652808,108.317860395874,79.29904113099771,10.046680867185401,34.9395235885405,46.63559,15579.7185045868,1331.1921790084,9.16871734920763,11.1343320829452,10899.865321385601,64155.5161261962,3662.82923824221,53.56975546946779,67.4421170742017,2528.24715689304,78654.3623934317,41952.03,25.0627659085629,51566.010063122005,30177.155110164702,17426.343930496398,29.10857,3921.6220505032898,4537.8041803052,227.320096533558,97451.0827124985,76.1735692393598,152399.215113318,1218.67335768311,4221.13135958984
